STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAEV,DAEV_ATTRIBUTES,DAWM,DAWM_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,MDEV,MDEV_ATTRIBUTES,MDWM,MDWM_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,SN32,SN32_ATTRIBUTES,SX32,SX32_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV03,WV03_ATTRIBUTES
USW00023065,7/4/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,3,2400,0,0,0,0,339,0,161,0,,,,,,,,,,,,,32,X,,,,,145,500,1658,X,,,,,178,0,356,0,1657,W,,,,,,,250,W,,,785,X,,,170,X,170,X,,,180,0,0,0,,,134,X,148,X,,,244,0,294,0,1,0,,,1,0,,,,,,,,,,,,,,,,,1,X,,,,,1,0,,,,,,,,,,
USW00023065,7/5/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,361,0,206,0,,,,,,,,,,,,,33,X,,,,,112,500,1943,X,,,,,189,0,333,0,1942,W,,,,,,,283,W,,,832,X,,,160,X,160,X,,,161,0,0,0,,,98,X,116,X,,,239,0,267,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,7/6/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,T02400,0,0,0,0,361,0,167,0,,,,,,,,,,,,,38,X,,,,,122,500,1337,X,,,,,200,0,361,0,1343,W,,,,,,,267,W,,,701,X,,,10,X,20,X,,,130,0,0,0,,,125,X,148,X,,,233,0,289,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
USW00023065,7/7/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,T02400,0,0,0,0,317,0,172,0,,,,,,,,,,,,,34,X,,,,,99,500,2319,X,,,,,189,0,356,0,2317,W,,,,,,,244,W,,,415,X,,,180,X,180,X,,,166,0,0,0,,,103,X,125,X,,,244,0,278,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
USW00023065,7/8/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,645,2400,0,0,0,0,300,0,178,0,,,,,,,,,,,,,49,X,,,,,76,500,1956,X,,,,,194,0,300,0,1955,W,,,,,,,239,W,,,202,X,,,310,X,340,X,,,127,0,0,0,,,143,X,206,X,,,244,0,272,0,1,0,,,1,0,,,,,,,,,,,,,,,,,1,X,,,,,1,0,,,,,,,,,,
USW00023065,7/9/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,84,2400,0,0,0,0,300,0,172,0,,,,,,,,,,,,,38,X,,,,,,,1911,X,,,,,183,0,294,0,1910,W,,,,,,,239,W,,,488,X,,,260,X,260,X,,,171,0,0,0,,,237,X,277,X,,,217,0,267,0,1,0,,,1,0,,,,,,,,,,,,,,,,,1,X,,,,,1,0,,,,,,,,,,
USW00023065,7/10/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,180,2400,0,0,0,0,283,0,178,0,,,,,,,,,,,,,33,X,,,,,43,500,1959,X,,,,,178,0,339,0,1958,W,,,,,,,233,W,,,452,X,,,150,X,160,X,,,129,0,0,0,,,112,X,143,X,,,222,0,261,0,1,0,,,1,0,,,,,,,,,,,,,,,,,1,X,,,,,1,0,,,,,,,,,,
USW00023065,7/11/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,289,0,167,0,,,,,,,,,,,,,24,X,,,,,41,500,2040,X,,,,,194,0,306,0,2039,W,,,,,,,228,W,,,526,X,,,50,X,50,X,,,100,0,0,0,,,94,X,107,X,,,217,0,250,0,1,0,1,X,1,0,,,,,,,,,,,,,,,,,1,X,,,,,,,,,,,,,,,,
USW00023065,7/12/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,94,2400,0,0,0,0,333,0,161,0,,,,,,,,,,,,,45,X,,,,,84,500,134,X,,,,,178,0,339,0,133,W,,,,,,,250,W,,,704,X,,,10,X,360,X,,,,,0,0,,,183,X,215,X,,,217,0,261,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
USW00023065,7/13/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,356,0,167,0,,,,,,,,,,,,,38,X,,,2,0,109,500,2014,X,,,225,0,183,0,333,0,2017,W,,,,,,,261,W,,,487,X,,,190,X,190,X,,,,,0,0,,,98,X,125,X,,,217,0,261,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,7/14/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,T02400,0,0,0,0,361,0,156,0,,,,,,,,,,,,,50,X,,,,,109,500,2049,X,,,,,172,0,339,0,2134,W,,,,,,,261,W,,,617,X,,,260,X,230,X,,,146,0,0,0,,,94,X,107,X,,,222,0,278,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
USW00023065,7/15/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,T02400,0,0,0,0,333,0,167,0,,,,,,,,,,,,,52,X,,,,,145,500,2142,X,,,,,178,0,328,0,2141,W,,,,,,,250,W,,,716,X,,,290,X,300,X,,,187,0,0,0,,,148,X,183,X,,,222,0,294,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
USW00023065,7/16/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,317,0,172,0,,,,,,,,,,,,,47,X,,,,,109,500,1402,X,,,,,178,0,333,0,1401,W,,,,,,,244,W,,,501,X,,,170,X,170,X,,,171,0,0,0,,,94,X,107,X,,,244,0,289,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,7/17/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,339,0,189,0,,,,,,,,,,,,,55,X,,,,,107,500,1320,X,,,,,178,0,333,0,1319,W,,,,,,,267,W,,,889,X,,,180,X,180,X,,,232,0,0,0,,,80,X,98,X,,,244,0,283,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,7/18/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,356,0,183,0,,,,,,,,,,,,,46,X,,,,,122,500,1429,X,,,,,183,0,333,0,1216,W,,,,,,,272,W,,,885,X,,,180,X,180,X,,,229,0,0,0,,,76,X,143,X,,,244,0,294,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,7/19/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,372,0,172,0,,,,,,,,,,,,,51,X,,,,,145,500,1509,X,,,,,172,0,328,0,1508,W,,,,,,,272,W,,,860,X,,,160,X,170,X,,,227,0,0,0,,,98,X,116,X,,,244,0,306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,7/20/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,378,0,167,0,,,,,,,,,,,,,49,X,,,,,157,500,1138,X,,,,,167,0,328,0,1137,W,,,,,,,272,W,,,883,X,,,180,X,190,X,,,225,0,0,0,,,89,X,103,X,,,256,0,306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,7/21/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,T02400,0,0,0,0,372,0,183,0,,,,,,,,,,,,,64,X,,,,,152,500,2247,X,,,,,183,0,328,0,2246,W,,,,,,,278,W,,,834,X,,,20,X,10,X,,,232,0,0,0,,,143,X,170,X,,,261,0,311,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
USW00023065,7/22/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,46,2400,0,0,0,0,267,0,172,0,,,,,,,,,,,,,46,X,,,,,160,500,30,X,,,,,183,0,322,0,30,W,,,,,,,222,W,,,195,X,,,60,X,70,X,,,320,0,0,0,,,76,X,98,X,,,272,0,311,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
USW00023065,7/23/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,140,2400,0,0,0,0,250,0,172,0,,,,,,,,,,,,,44,X,,,,,79,500,2257,X,,,,,183,0,272,0,1607,W,,,,,,,211,W,,,154,X,,,190,X,150,X,,,143,0,0,0,,,94,X,112,X,,,239,0,272,0,1,0,,,1,0,,,,,,,,,,,,,,,,,1,X,,,,,1,0,,,,,,,,,,
USW00023065,7/24/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,256,0,172,0,,,,,,,,,,,,,44,X,,,,,25,500,1711,X,,,,,178,0,256,0,1702,W,,,,,,,217,W,,,154,X,,,110,X,120,X,,,182,0,0,0,,,76,X,98,X,,,217,0,239,0,1,0,1,X,,,,,,,,,,,,,,,,,,,1,X,,,,,,,,,,,,,,,,
USW00023065,7/25/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,284,2400,0,0,0,0,261,0,167,0,,,,,,,,,,,,,50,X,,,,,36,500,2138,X,,,,,178,0,267,0,2138,W,,,,,,,217,W,,,298,X,,,290,X,280,X,,,174,0,0,0,,,112,X,130,X,,,211,0,244,0,1,0,,,1,0,,,,,,,,,,,,,,,,,1,X,,,,,1,0,,,,,,,,,,
USW00023065,7/26/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,20,2400,0,0,0,0,228,0,161,0,,,,,,,,,,,,,29,X,,,,,38,500,1241,X,,,,,183,0,278,0,1240,W,,,,,,,194,W,,,175,X,,,10,X,10,X,,,175,0,0,0,,,63,X,72,X,,,211,0,233,0,1,0,,,1,0,,,,,,,,,,,,,,,,,1,X,,,,,1,0,,,,,,,,,,
USW00023065,7/27/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,289,0,150,0,,,,,,,,,,,,,27,X,,,,,5,500,1138,X,,,,,172,0,239,0,949,W,,,,,,,222,W,,,746,X,,,50,X,30,X,,,87,0,0,0,,,49,X,72,X,,,200,0,217,0,1,0,,,,,,,,,,,,,,,,,,,,,1,X,,,,,,,,,,,,,,,,
USW00023065,7/28/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,300,0,156,0,,,,,,,,,,,,,22,X,,,,,86,500,1636,X,,,,,172,0,333,0,1633,W,,,,,,,228,W,,,660,X,,,70,X,60,X,,,80,0,0,0,,,63,X,76,X,,,200,0,244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,7/29/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,312,2400,0,0,0,0,283,0,167,0,,,,,,,,,,,,,27,X,,,,,71,500,2006,X,,,,,189,0,339,0,2006,W,,,,,,,228,W,,,210,X,,,40,X,40,X,,,72,0,0,0,,,94,X,107,X,,,211,0,261,0,1,0,,,1,0,,,,,,,,,,,,,,,,,1,X,,,,,1,0,,,,,,,,,,
USW00023065,7/30/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,10,2400,0,0,0,0,233,0,161,0,,,,,,,,,,,,,41,X,,,,,94,500,937,X,,,,,183,0,306,0,2257,W,,,,,,,200,W,,,0,X,,,10,X,110,X,,,105,0,0,0,,,76,X,89,X,,,211,0,256,0,1,0,1,X,,,,,,,,,,,,,,,,,,,1,X,,,,,1,0,,,,,,,,,,
USW00023065,7/31/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,T02400,0,0,0,0,206,0,144,0,,,,,,,,,,,,,51,X,,,,,10,500,1300,X,,,,,167,0,228,0,546,W,,,,,,,178,W,,,76,X,,,150,X,120,X,,,185,0,0,0,,,76,X,98,X,,,200,0,217,0,1,0,,,,,,,,,,,,,,,,,,,,,1,X,,,,,1,0,,,,,,,,,,
USW00023065,8/1/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,91,2400,0,0,0,0,256,0,167,0,,,,,,,,,,,,,59,X,,,,,5,500,1840,X,,,,,167,0,206,0,1839,W,,,,,,,211,W,,,172,X,,,280,X,260,X,,,200,0,0,0,,,134,X,152,X,,,194,0,200,0,1,0,,,1,0,,,,,,,,,,,,,,,,,1,X,,,,,1,0,,,,,,,,,,
USW00023065,8/2/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,T02400,0,0,0,0,294,0,150,0,,,,,,,,,,,,,46,X,,,,,43,500,2349,X,,,,,167,0,267,0,2332,W,,,,,,,222,W,,,786,X,,,330,X,310,X,,,211,0,0,0,,,80,X,107,X,,,194,0,211,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
USW00023065,8/3/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,8,2400,0,0,0,0,272,0,156,0,,,,,,,,,,,,,43,X,,,,,64,500,1632,X,,,,,172,0,289,0,1631,W,,,,,,,217,W,,,464,X,,,350,X,350,X,,,129,0,0,0,,,94,X,112,X,,,194,0,239,0,1,0,,,,,,,,,,,,,,,,,,,,,1,X,,,,,1,0,,,,,,,,,,
USW00023065,8/4/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,239,0,150,0,,,,,,,,,,,,,49,X,,,,,53,500,1641,X,,,,,156,0,289,0,1639,W,,,,,,,194,W,,,278,X,,,10,X,20,X,,,142,0,0,0,,,94,X,107,X,,,200,0,228,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,8/5/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,244,0,144,0,,,,,,,,,,,,,37,X,,,,,76,500,1433,X,,,,,156,0,239,0,1508,W,,,,,,,194,W,,,512,X,,,40,X,30,X,,,204,0,0,0,,,67,X,76,X,,,194,0,217,0,1,0,,,,,,,,,,,,,,,,,,,,,1,X,,,,,,,,,,,,,,,,
USW00023065,8/6/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,272,0,122,0,,,,,,,,,,,,,21,X,,,,,41,500,1419,X,,,,,156,0,261,0,1418,W,,,,,,,200,W,,,776,X,,,90,X,80,X,,,124,0,0,0,,,49,X,63,X,,,194,0,228,0,1,0,,,,,,,,,,,,,,,,,,,,,1,X,,,,,,,,,,,,,,,,
USW00023065,8/7/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,283,0,122,0,,,,,,,,,,,,,34,X,,,,,117,500,744,X,,,,,144,0,306,0,1305,W,,,,,,,206,W,,,786,X,,,170,X,130,X,,,93,0,0,0,,,63,X,76,X,,,194,0,261,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,8/8/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,317,0,144,0,,,,,,,,,,,,,45,X,,,,,71,500,1035,X,,,,,156,0,311,0,1043,W,,,,,,,233,W,,,838,X,,,150,X,160,X,,,146,0,0,0,,,80,X,103,X,,,206,0,267,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,8/9/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,53,2400,0,0,0,0,317,0,172,0,,,,,,,,,,,,,30,X,,,,,94,500,1920,X,,,,,156,0,300,0,1917,W,,,,,,,244,W,,,341,X,,,270,X,270,X,,,169,0,0,0,,,125,X,152,X,,,217,0,272,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
USW00023065,8/10/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,278,0,144,0,,,,,,,,,,,,,30,X,,,,,64,500,1745,X,,,,,167,0,311,0,1748,W,,,,,,,211,W,,,500,X,,,90,X,100,X,,,92,0,0,0,,,67,X,72,X,,,222,0,278,0,1,0,,,,,,,,,,,,,,,,,,,,,1,X,,,,,,,,,,,,,,,,
USW00023065,8/11/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,41,2400,0,0,0,0,272,0,161,0,,,,,,,,,,,,,30,X,,,,,43,500,2032,X,,,,,172,0,289,0,2031,W,,,,,,,217,W,,,439,X,,,320,X,320,X,,,85,0,0,0,,,98,X,107,X,,,217,0,239,0,1,0,,,1,0,,,,,,,,,,,,,,,,,1,X,,,,,1,0,,,,,,,,,,
USW00023065,8/12/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,289,0,156,0,,,,,,,,,,,,,30,X,,,,,61,500,1549,X,,,,,167,0,294,0,1603,W,,,,,,,222,W,,,632,X,,,340,X,340,X,,,145,0,0,0,,,72,X,94,X,,,217,0,256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,8/13/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,289,0,150,0,,,,,,,,,,,,,37,X,,,,,71,500,1520,X,,,,,172,0,311,0,927,W,,,,,,,222,W,,,777,X,,,20,X,20,X,,,114,0,0,0,,,63,X,76,X,,,211,0,250,0,1,0,,,,,,,,,,,,,,,,,,,,,1,X,,,,,,,,,,,,,,,,
USW00023065,8/14/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,311,0,150,0,,,,,,,,,,,,,39,X,,,,,76,500,2312,X,,,,,167,0,306,0,2312,W,,,,,,,233,W,,,755,X,,,210,X,220,X,,,127,0,0,0,,,72,X,89,X,,,211,0,267,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,8/15/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,317,0,139,0,,,,,,,,,,,,,45,X,,,,,91,500,1145,X,,,,,161,0,311,0,1145,W,,,,,,,228,W,,,731,X,,,170,X,170,X,,,135,0,0,0,,,98,X,112,X,,,217,0,283,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,8/16/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,344,0,156,0,,,,,,,,,,,,,42,X,,,,,99,500,2142,X,,,,,161,0,300,0,2141,W,,,,,,,250,W,,,809,X,,,300,X,310,X,,,251,0,0,0,,,80,X,103,X,,,217,0,283,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
