STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAPR,DAPR_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WV03,WV03_ATTRIBUTES,WV20,WV20_ATTRIBUTES
USW00012844,12/9/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",261,",,0",156,",,0",,,,,,,,,,,,,31,",,X",,,1211,",,X",,,1208,",,X",,,,,,,,,,,,,,,30,",,X",40,",,X",,,,,,,67,",,X",89,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/10/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",267,",,0",150,",,0",,,,,,,,,,,,,25,",,X",,,1514,",,X",,,1212,",,X",,,,,,,,,,,,,,,140,",,X",120,",,X",,,,,,,67,",,X",80,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/11/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,"T,,0,2400",0,",,0",0,",,0",233,",,0",117,",,0",,,,,,,,,,,,,46,",,X",,,1527,",,X",,,1526,",,X",,,,,,,,,,,,,,,270,",,X",270,",,X",,,,,,,98,",,X",116,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,12/12/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",189,",,0",61,",,0",,,,,,,,,,,,,44,",,X",,,312,",,X",,,317,",,X",,,,,,,,,,,,,,,330,",,X",10,",,X",,,,,,,80,",,X",98,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/13/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",228,",,0",89,",,0",,,,,,,,,,,,,23,",,X",,,1249,",,X",,,1248,",,X",,,,,,,,,,,,,,,80,",,X",80,",,X",,,,,,,67,",,X",76,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/14/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,"T,,0,2400",0,",,0",0,",,0",261,",,0",133,",,0",,,,,,,,,,,,,47,",,X",,,1103,",,X",,,1200,",,X",,,,,,,,,,,,,,,160,",,X",180,",,X",,,,,,,103,",,X",125,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,12/15/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",206,",,0",122,",,0",,,,,,,,,,,,,40,",,X",,,1258,",,X",,,1258,",,X",,,,,,,,,,,,,,,270,",,X",270,",,X",,,,,,,103,",,X",116,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/16/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",178,",,0",67,",,0",,,,,,,,,,,,,47,",,X",,,1017,",,X",,,1038,",,X",,,,,,,,,,,,,,,320,",,X",310,",,X",,,,,,,98,",,X",112,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/17/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",239,",,0",89,",,0",,,,,,,,,,,,,38,",,X",,,1057,",,X",,,1648,",,X",,,,,,,,,,,,,,,350,",,X",360,",,X",,,,,,,63,",,X",72,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/18/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,"T,,0,2400",0,",,0",0,",,0",250,",,0",144,",,0",,,,,,,,,,,,,20,",,X",,,1557,",,X",,,1138,",,X",,,,,,,,,,,,,,,40,",,X",330,",,X",,,,,,,49,",,X",67,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,12/19/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",250,",,0",139,",,0",,,,,,,,,,,,,21,",,X",,,1218,",,X",,,1233,",,X",,,,,,,,,,,,,,,350,",,X",310,",,X",,,,,,,63,",,X",67,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/20/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",51,",,0,2400",0,",,0",0,",,0",261,",,0",144,",,0",,,,,,,,,,,,,32,",,X",,,1423,",,X",,,1258,",,X",,,,,,,,,,,,,,,140,",,X",150,",,X",,,,,,,80,",,X",107,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,12/21/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",8,",,0,2400",0,",,0",0,",,0",256,",,0",139,",,0",,,,,,,,,,,,,46,",,X",,,1058,",,X",,,1057,",,X",,,,,,,,,,,,,,,240,",,X",240,",,X",,,,,,,98,",,X",125,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,12/22/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",239,",,0",106,",,0",,,,,,,,,,,,,22,",,X",,,1500,",,X",,,1330,",,X",,,,,,,,,,,,,,,230,",,X",220,",,X",,,,,,,49,",,X",67,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/23/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",58,",,0,2400",0,",,0",0,",,0",256,",,0",117,",,0",,,,,,,,,,,,,46,",,X",,,1034,",,X",,,1034,",,X",,,,,,,,,,,,,,,250,",,X",250,",,X",,,,,,,107,",,X",130,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,12/24/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",56,",,0,2400",0,",,0",0,",,0",244,",,0",106,",,0",,,,,,,,,,,,,31,",,X",,,2050,",,X",,,2050,",,X",,,,,,,,,,,,,,,310,",,X",320,",,X",,,,,,,94,",,X",103,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,12/25/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",25,",,0,2400",0,",,0",0,",,0",161,",,0",78,",,0",,,,,,,,,,,,,40,",,X",,,406,",,X",,,403,",,X",,,,,,,,,,,,,,,360,",,X",330,",,X",,,,,,,94,",,X",107,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,12/26/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",172,",,0",67,",,0",,,,,,,,,,,,,42,",,X",,,942,",,X",,,932,",,X",,,,,,,,,,,,,,,350,",,X",10,",,X",,,,,,,76,",,X",89,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/27/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",217,",,0",83,",,0",,,,,,,,,,,,,39,",,X",,,1408,",,X",,,1424,",,X",,,,,,,,,,,,,,,90,",,X",90,",,X",,,,,,,80,",,X",89,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/28/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",256,",,0",183,",,0",,,,,,,,,,,,,38,",,X",,,1159,",,X",,,1129,",,X",,,,,,,,,,,,,,,80,",,X",60,",,X",,,,,,,72,",,X",94,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/29/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",278,",,0",167,",,0",,,,,,,,,,,,,15,",,X",,,1435,",,X",,,1444,",,X",,,,,,,,,,,,,,,20,",,X",40,",,X",,,,,,,63,",,X",67,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/30/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",244,",,0",144,",,0",,,,,,,,,,,,,33,",,X",,,1630,",,X",,,1635,",,X",,,,,,,,,,,,,,,360,",,X",10,",,X",,,,,,,76,",,X",89,",,X",,,1,",,0",1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/31/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",239,",,0",122,",,0",,,,,,,,,,,,,43,",,X",,,2329,",,X",,,2329,",,X",,,,,,,,,,,,,,,70,",,X",80,",,X",,,,,,,94,",,X",107,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,1/1/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,"T,,0,2400",0,",,0",0,",,0",250,",,0",217,",,0",,,,,,,,,,,,,75,",,X",,,1014,",,X",,,920,",,X",,,,,,,,,,,,,,,100,",,X",90,",,X",,,,,,,112,",,X",130,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,1/2/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",211,",,0,2400",0,",,0",0,",,0",283,",,0",194,",,0",,,,,,,,,,,,,51,",,X",,,500,",,X",,,459,",,X",,,,,,,,,,,,,,,190,",,X",190,",,X",,,,,,,165,",,X",206,",,X",,,1,",,0",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,1/3/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",168,",,0,2400",0,",,0",0,",,0",217,",,0",183,",,0",,,,,,,,,,,,,47,",,X",,,2238,",,X",,,2237,",,X",,,,,,,,,,,,,,,220,",,X",210,",,X",,,,,,,116,",,X",143,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,1/4/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",211,",,0",106,",,0",,,,,,,,,,,,,44,",,X",,,1647,",,X",,,1544,",,X",,,,,,,,,,,,,,,260,",,X",250,",,X",,,,,,,107,",,X",134,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,1/5/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",167,",,0",89,",,0",,,,,,,,,,,,,39,",,X",,,242,",,X",,,846,",,X",,,,,,,,,,,,,,,270,",,X",360,",,X",,,,,,,94,",,X",103,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,1/6/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",233,",,0",83,",,0",,,,,,,,,,,,,28,",,X",,,939,",,X",,,938,",,X",,,,,,,,,,,,,,,110,",,X",110,",,X",,,,,,,94,",,X",103,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,1/7/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",256,",,0",144,",,0",,,,,,,,,,,,,42,",,X",,,1250,",,X",,,1122,",,X",,,,,,,,,,,,,,,130,",,X",150,",,X",,,,,,,94,",,X",125,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,1/8/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",114,",,0,2400",0,",,0",0,",,0",239,",,0",156,",,0",,,,,,,,,,,,,27,",,X",,,2347,",,X",,,2340,",,X",,,,,,,,,,,,,,,340,",,X",310,",,X",,,,,,,67,",,X",76,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,1/9/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,"T,,0,2400",0,",,0",0,",,0",211,",,0",128,",,0",,,,,,,,,,,,,55,",,X",,,2308,",,X",,,2259,",,X",,,,,,,,,,,,,,,40,",,X",40,",,X",,,,,,,98,",,X",125,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,1/10/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",170,",,0,2400",0,",,0",0,",,0",222,",,0",194,",,0",,,,,,,,,,,,,94,",,X",,,1036,",,X",,,1646,",,X",,,,,,,,,,,,,,,60,",,X",70,",,X",,,,,,,139,",,X",161,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,1/11/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",20,",,0,2400",0,",,0",0,",,0",228,",,0",200,",,0",,,,,,,,,,,,,94,",,X",,,1148,",,X",,,1147,",,X",,,,,,,,,,,,,,,90,",,X",80,",,X",,,,,,,139,",,X",161,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,1/12/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",165,",,0,2400",0,",,0",0,",,0",278,",,0",183,",,0",,,,,,,,,,,,,35,",,X",,,2358,",,X",,,9,",,X",,,,,,,,,,,,,,,110,",,X",110,",,X",,,,,,,98,",,X",112,",,X",,,1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,1/13/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",8,",,0,2400",0,",,0",0,",,0",272,",,0",161,",,0",,,,,,,,,,,,,41,",,X",,,2205,",,X",,,2204,",,X",,,,,,,,,,,,,,,310,",,X",320,",,X",,,,,,,112,",,X",130,",,X",,,1,",,0",1,",,X",,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,1/14/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",3,",,0,2400",0,",,0",0,",,0",172,",,0",89,",,0",,,,,,,,,,,,,44,",,X",,,1058,",,X",,,631,",,X",,,,,,,,,,,,,,,290,",,X",310,",,X",,,,,,,103,",,X",125,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,1/15/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",211,",,0",56,",,0",,,,,,,,,,,,,21,",,X",,,945,",,X",,,942,",,X",,,,,,,,,,,,,,,10,",,X",300,",,X",,,,,,,63,",,X",76,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,1/16/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",211,",,0",100,",,0",,,,,,,,,,,,,68,",,X",,,2257,",,X",,,2321,",,X",,,,,,,,,,,,,,,80,",,X",90,",,X",,,,,,,116,",,X",134,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,1/17/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",18,",,0,2400",0,",,0",0,",,0",244,",,0",183,",,0",,,,,,,,,,,,,75,",,X",,,1110,",,X",,,1113,",,X",,,,,,,,,,,,,,,120,",,X",130,",,X",,,,,,,130,",,X",161,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,1/18/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",53,",,0,2400",0,",,0",0,",,0",217,",,0",150,",,0",,,,,,,,,,,,,39,",,X",,,524,",,X",,,524,",,X",,,,,,,,,,,,,,,310,",,X",300,",,X",,,,,,,116,",,X",139,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,1/19/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",200,",,0",133,",,0",,,,,,,,,,,,,65,",,X",,,1218,",,X",,,1218,",,X",,,,,,,,,,,,,,,30,",,X",20,",,X",,,,,,,112,",,X",134,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,1/20/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,"T,,0,2400",0,",,0",0,",,0",233,",,0",189,",,0",,,,,,,,,,,,,62,",,X",,,1115,",,X",,,1114,",,X",,,,,,,,,,,,,,,60,",,X",60,",,X",,,,,,,89,",,X",98,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,1/21/1994,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",20,",,0,2400",0,",,0",0,",,0",233,",,0",150,",,0",,,,,,,,,,,,,54,",,X",,,1620,",,X",,,1502,",,X",,,,,,,,,,,,,,,10,",,X",20,",,X",,,,,,,89,",,X",112,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
